timestamp,AccX,AccY,AccZ
1569277137122,-6.688202381134033,-5.768828868865967,-2.0817582607269287
1569277137188,,,-2.0195090770721436
1569277137189,-8.062474250793457,-5.127182960510254,
1569277137215,-8.311470985412598,-4.547786235809326,-1.521515130996704
1569277137267,-7.6075758934021,-3.532644510269165,-1.0043675899505615
1569277137293,,-4.423287868499756,0.8750807046890259
1569277137294,-9.465476036071777,,
1569277137342,-9.771934509277344,-3.551798105239868,-0.8176198601722717
1569277137370,,,-0.9995791912078857
1569277137371,-9.240421295166016,-3.264493942260742,
1569277137430,-13.818135261535645,-6.707355976104736,12.127828598022461
1569277137457,-14.273033142089844,-3.5182793140411377,-0.9756371974945068
1569277137516,-11.66335391998291,-1.2725181579589844,0.5542576909065247
1569277137542,,,-5.543774127960205
1569277137543,-12.075156211853027,-6.884527206420898,
1569277137589,,,-7.645883083343506
1569277137590,-11.807005882263184,-9.996989250183105,
1569277137627,-7.665036678314209,-11.27070426940918,-6.300341606140137
1569277137675,-3.5853171348571777,-12.300210952758789,7.420828342437744
1569277137702,-2.7329812049865723,-5.084087371826172,-2.6132712364196777
1569277137767,-3.1735143661499023,-3.906140089035034,-1.6651673316955566
1569277137838,,-1.5598224401474,-1.5598224401474
1569277137839,-2.7521347999572754,,
1569277137864,,-3.728969097137451,0.15682020783424377
1569277137865,-2.05781626701355,,
1569277137919,,-5.744886875152588,13.693636894226074
1569277137920,-10.399214744567871,,
1569277137962,-19.300857543945312,-7.6985554695129395,1.5598224401474
1569277138006,,,5.103240966796875
1569277138007,-14.411896705627441,-9.139864921569824,
1569277138008,-1.1336544752120972,-6.376956462860107,-3.5182793140411377
1569277138087,,-10.308235168457031,-4.322731018066406
1569277138088,-4.107253074645996,,
1569277138090,-5.160701751708984,-8.708909034729004,-2.9963433742523193
1569277138165,-5.706579685211182,-6.7265095710754395,-2.4791958332061768
1569277138202,-6.6355299949646,-5.270834922790527,-2.1727380752563477
1569277138240,-7.2005615234375,-5.261258125305176,-1.9524714946746826
1569277138266,,,-1.2246341705322266
1569277138267,-8.143877029418945,-5.275623321533203,
1569277138305,-7.82305383682251,-4.298789024353027,-1.071405291557312
1569277138332,-7.775169849395752,-4.131195068359375,3.671508312225342
1569277138381,-9.848548889160156,-3.8343141078948975,0.5638344883918762
1569277138453,-10.341753959655762,-3.312378168106079,-1.0666168928146362
1569277138492,-14.397531509399414,-3.8726212978363037,3.1064767837524414
1569277138560,-12.45822811126709,-1.0426748991012573,2.4361002445220947
1569277138603,,,-5.893327713012695
1569277138604,-14.747085571289062,-6.918045997619629,
1569277138630,,,-7.171831130981445
1569277138631,-14.301763534545898,-10.284293174743652,
1569277138690,-8.78073501586914,-11.323376655578613,-9.384073257446289
1569277138693,-3.5470097064971924,-10.394426345825195,5.4911017417907715
1569277138775,,,-1.646013617515564
1569277138776,-2.4839842319488525,-5.92205810546875,-2.1535844802856445
1569277138820,-2.7521347999572754,-3.3650505542755127,-1.9524714946746826
1569277138866,,,-1.3730746507644653
1569277138867,-2.8335378170013428,-2.9005753993988037,
1569277138938,-3.044227361679077,-2.7904419898986816,-1.2102689743041992
1569277139008,,,13.506889343261719
1569277139009,-27.991809844970703,-9.446322441101074,
