;;;;;;;;;
Anexo 1. Desempeño fiscal de los municipios 2013, ;;;;;;;;;
ordenados de mayor a menor calificación;;;;;;;;;
;;;;;;;;;
Codigo Dane Mpio;Departamento;Municipio;Autofinanciamiento gastos de funcionamiento 1/;Respaldo del servicio de la deuda 2/;Dependencia transferencias y regalías 3/;Generación de recursos propios 4/;Magnitud de la inversión 5/;Capacidad de ahorro 6/;Indicador de desempeño Fiscal 7/
 05664 ; Antioquia ; San Pedro ;48,95;18,51;39,01;81,87;80,75;48,11;76,16
 25269 ; Cundinamarca ; Facatativá ;53,00;7,86;51,58;74,93;81,86;53,96;76,08
 73001 ; Tolima ; Ibagué ;43,34;10,64;66,99;87,63;86,72;53,97;76,03
 81591 ; Arauca ; Puerto Rondón ;70,16;0,00;31,55;45,52;94,43;41,53;76,03
 85440 ; Casanare ; Villanueva ;58,46;0,00;59,84;70,74;80,98;57,74;75,97
 25245 ; Cundinamarca ; El Colegio ;62,53;3,25;42,63;73,99;79,20;42,63;75,97
 13836 ; Bolívar ; Turbaco ;54,56;0,00;74,57;87,34;87,77;47,92;75,96
 27001 ; Chocó ; Quibdó ;56,65;0,00;73,37;85,36;95,83;39,87;75,92
 20045 ; Cesar ; Becerril ;67,09;0,00;81,87;79,37;94,31;56,19;75,89
 73349 ; Tolima ; Honda ;74,23;0,00;55,28;79,10;80,82;43,49;75,80
 73861 ; Tolima ; Venadillo ;54,55;0,67;73,14;72,46;86,85;62,75;75,79
 73026 ; Tolima ; Alvarado ;35,12;2,74;71,94;68,90;87,51;66,67;75,74
 86885 ; Putumayo ; Villagarzón ;56,56;0,00;74,49;77,05;90,96;52,89;75,60
 25099 ; Cundinamarca ; Bojacá ;55,20;4,77;31,96;58,18;83,12;42,93;75,49
 73275 ; Tolima ; Flandes ;50,92;3,08;62,48;79,75;83,99;47,40;75,35
 85325 ; Casanare ; San Luis de Palenque ;43,36;1,91;74,35;75,23;86,46;59,99;75,33
 68549 ; Santander ; Pinchote ;26,23;4,11;67,12;63,17;85,38;68,87;75,30
 66075 ; Risaralda ; Balboa ;53,81;3,74;54,09;76,55;80,47;46,34;75,28
 85225 ; Casanare ; Nunchía ;32,42;2,90;72,75;69,93;88,49;62,51;75,27
 19455 ; Cauca ; Miranda ;44,32;3,02;68,56;83,24;82,61;50,35;75,20
 50683 ; Meta ; San Juan de Arama ;55,40;0,00;57,11;64,98;89,26;47,18;75,20
 23466 ; Córdoba ; Montelíbano ;49,25;0,00;94,67;84,40;96,68;56,83;75,19
 76248 ; Valle Del Cauca ; El Cerrito ;52,90;2,53;57,12;83,49;75,67;45,29;75,19
 25307 ; Cundinamarca ; Girardot ;42,85;17,75;50,61;80,21;83,17;51,74;75,17
 23417 ; Córdoba ; Lorica ;42,19;2,32;89,82;81,12;96,24;58,31;75,15
 85250 ; Casanare ; Paz de Ariporo ;43,32;5,73;72,43;79,46;87,17;55,91;75,11
 17380 ; Caldas ; La Dorada ;46,43;0,75;60,89;71,19;84,68;49,63;75,09
 76563 ; Valle Del Cauca ; Pradera ;45,68;0,00;72,69;80,66;83,88;51,62;75,09
 13430 ; Bolívar ; Magangué ;22,54;0,00;88,00;65,45;97,22;68,66;75,08
 17174 ; Caldas ; Chinchiná ;62,47;0,00;55,88;83,67;78,07;37,47;75,06
 05440 ; Antioquia ; Marinilla ;53,62;11,44;45,47;75,00;77,22;50,16;75,03
 50226 ; Meta ; Cumaral ;47,47;6,25;64,35;81,67;79,26;53,51;74,95
 05697 ; Antioquia ; El Santuario ;50,62;5,61;60,55;72,18;85,59;51,92;74,93
 25843 ; Cundinamarca ; Villa de San Diego de Ubate ;47,76;4,60;42,58;55,45;81,55;54,42;74,93
 15696 ; Boyacá ; Santa Sofía ;72,56;8,75;65,80;70,10;78,32;70,70;74,90
 05107 ; Antioquia ; Briceño ;29,82;7,74;64,61;69,45;82,22;64,63;74,87
 08638 ; Atlántico ; Sabanalarga ;45,89;0,00;85,93;76,24;94,43;56,42;74,80
 70820 ; Sucre ; Santiago de Tolú ;63,62;0,00;76,98;79,85;92,68;45,41;74,79
 63401 ; Quindio ; La Tebaida ;53,81;5,86;68,94;76,77;87,02;53,03;74,72
 25772 ; Cundinamarca ; Suesca ;49,66;0,00;54,95;66,16;78,03;52,74;74,71
 76113 ; Valle Del Cauca ; Bugalagrande ;60,52;3,75;61,06;87,46;75,87;43,20;74,70
 50110 ; Meta ; Barranca de Upía ;69,83;16,82;40,37;82,02;77,17;41,84;74,70
 20228 ; Cesar ; Curumaní ;62,80;3,17;75,16;71,88;92,15;55,44;74,67
 50606 ; Meta ; Restrepo ;52,30;7,20;46,28;71,55;76,33;48,08;74,64
 41551 ; Huila ; Pitalito ;52,33;2,98;82,45;75,46;93,53;56,84;74,59
 54810 ; Norte De Santander ; Tibú ;73,29;1,91;70,63;70,37;90,98;51,31;74,53
 68655 ; Santander ; Sabana de Torres ;49,59;5,83;67,71;77,73;85,39;51,10;74,51
 25645 ; Cundinamarca ; San Antonio del Tequendama ;45,96;0,00;49,06;46,67;84,16;58,90;74,44
 08078 ; Atlántico ; Baranoa ;41,86;9,53;63,04;72,10;91,06;49,30;74,32
 25181 ; Cundinamarca ; Choachí ;45,47;5,06;51,80;57,61;90,18;48,81;74,31
 20011 ; Cesar ; Aguachica ;54,26;0,00;78,81;83,06;89,51;43,98;74,27
 25513 ; Cundinamarca ; Pacho ;49,35;6,43;63,36;73,63;87,18;48,11;74,25
 44378 ; La Guajira ; Hatonuevo ;47,75;0,00;78,39;58,28;93,32;65,15;74,22
 50223 ; Meta ; Cubarral ;69,67;7,97;39,41;63,07;87,11;36,61;74,21
 25736 ; Cundinamarca ; Sesquilé ;38,48;0,00;63,18;73,39;80,18;47,79;74,19
 50689 ; Meta ; San Martín ;50,08;0,00;51,17;72,17;79,70;37,41;74,18
 20295 ; Cesar ; Gamarra ;71,01;1,48;67,31;65,95;89,88;51,02;74,17
 68079 ; Santander ; Barichara ;36,35;2,79;71,18;61,30;88,92;62,34;74,17
 50124 ; Meta ; Cabuyaro ;47,59;0,00;91,21;78,71;94,35;54,91;74,12
 52506 ; Nariño ; Ospina ;32,06;3,52;60,30;40,08;92,62;70,03;74,10
 76001 ; Valle Del Cauca ; Cali ;37,14;6,53;46,72;66,81;73,21;52,58;74,09
 13160 ; Bolívar ; Cantagallo ;73,42;0,00;68,23;54,06;94,65;56,94;74,08
 25151 ; Cundinamarca ; Caqueza ;41,06;6,39;67,75;70,94;87,53;53,54;74,02
 73148 ; Tolima ; Carmen de Apicalá ;62,95;2,17;52,66;65,19;80,49;46,73;73,99
 17614 ; Caldas ; Riosucio ;50,10;3,56;78,45;68,35;92,15;58,02;73,90
 68377 ; Santander ; La Belleza ;47,91;0,11;77,68;62,47;86,43;65,12;73,84
 76520 ; Valle Del Cauca ; Palmira ;51,46;8,97;53,89;83,42;75,55;41,09;73,84
 85263 ; Casanare ; Pore ;46,95;0,57;91,89;71,04;95,24;61,35;73,80
 81736 ; Arauca ; Saravena ;51,62;0,00;83,68;68,29;95,86;54,58;73,80
 70717 ; Sucre ; San Pedro ;58,93;0,00;77,20;63,95;94,01;54,54;73,80
 25183 ; Cundinamarca ; Chocontá ;47,18;1,51;43,28;48,54;85,53;47,09;73,77
 05088 ; Antioquia ; Bello ;49,34;9,61;64,16;86,37;80,85;43,00;73,77
 17777 ; Caldas ; Supía ;65,22;2,50;68,14;63,96;90,46;51,78;73,75
 05172 ; Antioquia ; Chigorodó ;48,98;0,00;71,90;67,94;91,28;47,61;73,75
 25317 ; Cundinamarca ; Guachetá ;48,21;0,00;56,42;62,34;88,19;40,83;73,70
 47288 ; Magdalena ; Fundación ;41,73;0,00;86,53;69,23;94,71;56,96;73,68
 68324 ; Santander ; Guavatá ;56,47;2,60;71,45;60,31;87,48;61,66;73,65
 63470 ; Quindio ; Montenegro ;64,28;3,01;70,92;78,90;86,45;42,78;73,58
 68020 ; Santander ; Albania ;45,83;0,00;66,58;44,50;90,16;66,69;73,54
 19698 ; Cauca ; Santander de Quilichao ;59,84;5,35;68,45;79,87;86,83;41,30;73,54
