"Cod.Depto";"Nombre.Departamento";"Cod.Mpio";"Nombre.Municipio";"Cod.MpioCompleto";"NBI";"Nota.Aclaratoria"
8;"ATLANTICO";558;"POLONUEVO";8558;35,36;
8;"ATLANTICO";560;"PONEDERA";8560;50,03;
8;"ATLANTICO";573;"PUERTO COLOMBIA";8573;24,74;
8;"ATLANTICO";606;"REPELON";8606;52,33;
8;"ATLANTICO";634;"SABANAGRANDE";8634;39,88;
8;"ATLANTICO";638;"SABANALARGA";8638;39,14;
8;"ATLANTICO";675;"SANTA LUCIA";8675;60;
8;"ATLANTICO";685;"SANTO TOMAS";8685;33,84;
8;"ATLANTICO";758;"SOLEDAD";8758;24,07;
8;"ATLANTICO";770;"SUAN";8770;55,4;
8;"ATLANTICO";832;"TUBARA";8832;35,9;
8;"ATLANTICO";849;"USIACURI";8849;43,28;
11;"BOGOTA";1;"BOGOTA, D.C.";11001;9,2;
13;"BOLIVAR";1;"CARTAGENA";13001;26,01;
13;"BOLIVAR";6;"ACHI";13006;80,74;
13;"BOLIVAR";30;"ALTOS DEL ROSARIO";13030;68,83;
13;"BOLIVAR";42;"ARENAL";13042;59,17;
13;"BOLIVAR";52;"ARJONA";13052;58,83;
13;"BOLIVAR";62;"ARROYOHONDO";13062;67,8;
13;"BOLIVAR";74;"BARRANCO DE LOBA";13074;74,54;
13;"BOLIVAR";140;"CALAMAR";13140;71,99;
13;"BOLIVAR";160;"CANTAGALLO";13160;61,88;
13;"BOLIVAR";188;"CICUCO";13188;60,88;
13;"BOLIVAR";212;"CORDOBA";13212;70,24;
13;"BOLIVAR";222;"CLEMENCIA";13222;72,06;
13;"BOLIVAR";244;"EL CARMEN DE BOLIVAR";13244;93,45;
13;"BOLIVAR";248;"EL GUAMO";13248;59,11;
13;"BOLIVAR";268;"EL PEÑON";13268;72,86;
13;"BOLIVAR";300;"HATILLO DE LOBA";13300;78,35;
13;"BOLIVAR";430;"MAGANGUE";13430;54,39;
13;"BOLIVAR";433;"MAHATES";13433;53,68;
13;"BOLIVAR";440;"MARGARITA";13440;76,03;
