"X";"Y";"Thk"
9000;5000;32,774049491248
10000;5000;33,3473124324685
11000;5000;33,920575373689
12000;5000;34,4938383149095
13000;5000;35,06710125613
14000;5000;35,6403641973506
15000;5000;36,2136271385711
16000;5000;36,7868900797916
17000;5000;37,3601530210121
18000;5000;37,9334159622326
19000;5000;38,5066789034531
20000;5000;39,0799418446736
0;6000;28,4215256910951
1000;6000;28,9592728554878
2000;6000;29,4970200198805
3000;6000;30,0347671842732
4000;6000;30,5725143486659
5000;6000;31,1102615130586
6000;6000;31,6480086774513
7000;6000;32,185755841844
8000;6000;32,7235030062367
9000;6000;33,2612501706294
10000;6000;33,7989973350221
11000;6000;34,3367444994148
12000;6000;34,8744916638075
13000;6000;35,4122388282002
14000;6000;35,9499859925929
15000;6000;36,4877331569856
16000;6000;37,0254803213783
17000;6000;37,563227485771
18000;6000;38,1009746501637
19000;6000;38,6387218145564
20000;6000;39,1764689789491
0;7000;29,2283683619269
1000;7000;29,7305997494918
2000;7000;30,2328311370567
3000;7000;30,7350625246216
4000;7000;31,2372939121864
5000;7000;31,7395252997513
6000;7000;32,2417566873162
7000;7000;32,7439880748811
8000;7000;33,246219462446
9000;7000;33,7484508500109
10000;7000;34,2506822375757
11000;7000;34,7529136251406
12000;7000;35,2551450127055
13000;7000;35,7573764002704
14000;7000;36,2596077878353
15000;7000;36,7618391754001
16000;7000;37,264070562965
17000;7000;37,7663019505299
18000;7000;38,2685333380948
19000;7000;38,7707647256597
20000;7000;39,2729961132246
0;8000;30,0352110327587
1000;8000;30,5019266434958
2000;8000;30,9686422542328
3000;8000;31,4353578649699
4000;8000;31,902073475707
5000;8000;32,368789086444
6000;8000;32,8355046971811
7000;8000;33,3022203079182
8000;8000;33,7689359186552
9000;8000;34,2356515293923
10000;8000;34,7023671401294
11000;8000;35,1690827508664
12000;8000;35,6357983616035
13000;8000;36,1025139723406
14000;8000;36,5692295830776
15000;8000;37,0359451938147
16000;8000;37,5026608045518
17000;8000;37,9693764152888
18000;8000;38,4360920260259
19000;8000;38,902807636763
20000;8000;39,3695232475
0;9000;30,8420537035905
1000;9000;31,2732535374997
2000;9000;31,704453371409
3000;9000;32,1356532053182
4000;9000;32,5668530392275
5000;9000;32,9980528731367
6000;9000;33,429252707046
7000;9000;33,8604525409552
8000;9000;34,2916523748645
9000;9000;34,7228522087737
10000;9000;35,154052042683
11000;9000;35,5852518765922
12000;9000;36,0164517105015
13000;9000;36,4476515444107
14000;9000;36,87885137832
15000;9000;37,3100512122292
16000;9000;37,7412510461385
17000;9000;38,1724508800478
18000;9000;38,603650713957
19000;9000;39,0348505478663
20000;9000;39,4660503817755
0;10000;31,6488963744222
1000;10000;32,0445804315037
2000;10000;32,4402644885851
3000;10000;32,8359485456665
4000;10000;33,231632602748
5000;10000;33,6273166598294
6000;10000;34,0230007169109
7000;10000;34,4186847739923
8000;10000;34,8143688310737
9000;10000;35,2100528881552
10000;10000;35,6057369452366
11000;10000;36,001421002318
12000;10000;36,3971050593995
13000;10000;36,7927891164809
14000;10000;37,1884731735624
15000;10000;37,5841572306438
16000;10000;37,9798412877252
17000;10000;38,3755253448067
18000;10000;38,7712094018881
19000;10000;39,1668934589695
20000;10000;39,562577516051
0;11000;32,455739045254
1000;11000;32,8159073255076
2000;11000;33,1760756057612
3000;11000;33,5362438860149
4000;11000;33,8964121662685
5000;11000;34,2565804465221
6000;11000;34,6167487267757
7000;11000;34,9769170070294
8000;11000;35,337085287283
9000;11000;35,6972535675366
10000;11000;36,0574218477902
11000;11000;36,4175901280438
12000;11000;36,7777584082975
13000;11000;37,1379266885511
14000;11000;37,4980949688047
15000;11000;37,8582632490583
16000;11000;38,218431529312
17000;11000;38,5785998095656
18000;11000;38,9387680898192
19000;11000;39,2989363700728
20000;11000;39,6591046503264
0;12000;33,2625817160858
1000;12000;33,5872342195116
2000;12000;33,9118867229374
3000;12000;34,2365392263632
4000;12000;34,561191729789
5000;12000;34,8858442332148
6000;12000;35,2104967366406
7000;12000;35,5351492400664
8000;12000;35,8598017434922
9000;12000;36,184454246918
10000;12000;36,5091067503438
11000;12000;36,8337592537696
12000;12000;37,1584117571955
13000;12000;37,4830642606213
14000;12000;37,8077167640471
15000;12000;38,1323692674729
16000;12000;38,4570217708987
17000;12000;38,7816742743245
18000;12000;39,1063267777503
19000;12000;39,4309792811761
20000;12000;39,7556317846019
0;13000;34,0694243869175
1000;13000;34,3585611135155
2000;13000;34,6476978401135
3000;13000;34,9368345667115
4000;13000;35,2259712933095
5000;13000;35,5151080199075
6000;13000;35,8042447465055
7000;13000;36,0933814731035
8000;13000;36,3825181997015
9000;13000;36,6716549262995
10000;13000;36,9607916528975
11000;13000;37,2499283794955
12000;13000;37,5390651060935
13000;13000;37,8282018326914
14000;13000;38,1173385592894
15000;13000;38,4064752858874
16000;13000;38,6956120124854
17000;13000;38,9847487390834
18000;13000;39,2738854656814
19000;13000;39,5630221922794
20000;13000;39,8521589188774
0;14000;34,8762670577493
1000;14000;35,1298880075195
2000;14000;35,3835089572897
3000;14000;35,6371299070599
4000;14000;35,89075085683
5000;14000;36,1443718066002
