;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
COLOMBIA. Necesidades Básicas Insatisfechas - NBI, por total, cabecera y resto, según municipio y nacional.;;;;;;;;;;
 A JUNIO 2012;;;;;;;;;;
RESULTADOS CENSO GENERAL 2005;;;;;;;;;;
;;;;;;;;;;
Cod Depto;Nombre Departamento;Cod Mpio;Nombre Municipio;Personas en NBI;;;;;;Nota Aclaratoria
;;;;Cabecera ;;Resto ;;Total ;;
;;;;Prop (%);cve (%);Prop (%);cve (%);Prop (%);cve (%);
05;ANTIOQUIA;893;YONDO;44,95;3,51;75,18;-;59,05;1,42;
05;ANTIOQUIA;895;ZARAGOZA;45,74;6,76;82,69;3,20;64,30;3,16;
08;ATLANTICO;001;BARRANQUILLA;17,70;2,08;21,73;7,19;17,72;2,07;
08;ATLANTICO;078;BARANOA;25,81;6,08;31,80;7,87;26,82;5,11;
08;ATLANTICO;137;CAMPO DE LA CRUZ;63,61;3,02;58,16;5,18;62,86;2,72;
08;ATLANTICO;141;CANDELARIA;84,99;1,61;44,41;7,97;74,22;1,85;
08;ATLANTICO;296;GALAPA;37,57;4,08;53,27;3,33;39,19;3,54;
08;ATLANTICO;372;JUAN DE ACOSTA;28,10;4,64;35,81;8,17;30,95;4,39;
08;ATLANTICO;421;LURUACO;56,46;2,23;45,18;6,95;50,54;3,47;
08;ATLANTICO;433;MALAMBO;31,77;5,92;32,93;6,12;31,84;5,56;
08;ATLANTICO;436;MANATI;55,45;3,38;72,17;3,76;57,14;2,98;
08;ATLANTICO;520;PALMAR DE VARELA;37,27;4,82;47,92;-;37,66;4,59;
08;ATLANTICO;549;PIOJO;53,50;3,09;54,56;2,49;54,03;1,98;
08;ATLANTICO;558;POLONUEVO;32,01;6,67;50,14;4,83;35,36;5,08;
08;ATLANTICO;560;PONEDERA;48,37;4,32;51,81;5,04;50,03;3,32;
08;ATLANTICO;573;PUERTO COLOMBIA;25,53;7,18;22,36;15,68;24,74;6,59;
08;ATLANTICO;606;REPELON;58,11;3,45;40,60;7,78;52,33;3,25;
08;ATLANTICO;634;SABANAGRANDE;40,05;2,55;36,21;-;39,88;2,44;
08;ATLANTICO;638;SABANALARGA;36,67;5,67;47,62;7,90;39,14;4,65;
08;ATLANTICO;675;SANTA LUCIA;60,66;3,28;54,42;6,98;60,00;3,04;
08;ATLANTICO;685;SANTO TOMAS;33,00;6,30;50,11;10,15;33,84;5,88;
08;ATLANTICO;758;SOLEDAD;24,01;4,87;58,67;-;24,07;4,85;
08;ATLANTICO;770;SUAN;55,98;2,67;43,82;-;55,40;2,57;
08;ATLANTICO;832;TUBARA;32,20;5,27;40,62;7,32;35,90;4,50;
08;ATLANTICO;849;USIACURI;42,00;3,02;55,27;-;43,28;2,65;
11;BOGOTA;001;BOGOTA, D.C.;9,16;1,97;27,84;-;9,20;1,96;
13;BOLIVAR;001;CARTAGENA;25,45;1,85;35,50;6,05;26,01;1,77;
13;BOLIVAR;006;ACHI;53,23;3,78;86,48;2,57;80,74;2,32;
13;BOLIVAR;030;ALTOS DEL ROSARIO;51,61;-;87,92;-;68,83;-;
13;BOLIVAR;042;ARENAL;47,37;-;74,34;-;59,17;-;
13;BOLIVAR;052;ARJONA;61,42;3,38;49,37;5,04;58,83;2,91;
13;BOLIVAR;062;ARROYOHONDO;70,23;-;64,15;-;67,80;-;
13;BOLIVAR;074;BARRANCO DE LOBA;59,02;-;82,30;-;74,54;-;
13;BOLIVAR;140;CALAMAR;71,20;2,08;72,95;3,39;71,99;1,92;
13;BOLIVAR;160;CANTAGALLO;34,39;5,10;81,42;-;61,88;1,18;
13;BOLIVAR;188;CICUCO;56,37;-;69,26;-;60,88;-;
13;BOLIVAR;212;CORDOBA;58,04;-;74,56;-;70,24;-;
13;BOLIVAR;222;CLEMENCIA;75,03;2,13;61,90;4,67;72,06;1,94;
13;BOLIVAR;244;EL CARMEN DE BOLIVAR;96,19;0,51;85,22;1,22;93,45;0,48;
13;BOLIVAR;248;EL GUAMO;63,93;-;53,70;-;59,11;-;
13;BOLIVAR;268;EL PEÑON;60,95;-;79,33;-;72,86;-;
13;BOLIVAR;300;HATILLO DE LOBA;73,60;-;79,87;-;78,35;-;
13;BOLIVAR;430;MAGANGUE;49,15;4,24;64,58;5,29;54,39;3,31;
13;BOLIVAR;433;MAHATES;66,65;1,93;45,69;4,46;53,68;2,52;
13;BOLIVAR;440;MARGARITA;79,68;-;75,27;-;76,03;-;
13;BOLIVAR;442;MARIA LA BAJA;61,60;2,49;58,93;4,95;59,99;3,11;
13;BOLIVAR;458;MONTECRISTO;55,68;-;92,35;-;68,33;-;
13;BOLIVAR;468;MOMPOS;32,91;6,49;74,22;4,12;51,63;3,51;
13;BOLIVAR;490;NOROSI (1);79,50;-;92,20;-;88,81;-;
13;BOLIVAR;473;MORALES;54,06;-;69,12;-;63,80;-;
13;BOLIVAR;549;PINILLOS;64,12;-;83,12;-;81,05;-;
13;BOLIVAR;580;REGIDOR;69,97;-;64,33;-;66,73;-;
13;BOLIVAR;600;RIO VIEJO (1);66,52;-;88,81;-;76,98;-;
13;BOLIVAR;620;SAN CRISTOBAL;48,53;-;38,25;-;45,96;-;
13;BOLIVAR;647;SAN ESTANISLAO;59,19;2,26;51,94;3,22;57,08;1,87;
13;BOLIVAR;650;SAN FERNANDO;44,84;-;76,70;-;69,80;-;
13;BOLIVAR;654;SAN JACINTO;95,35;0,80;84,55;-;94,38;0,73;
13;BOLIVAR;655;SAN JACINTO DEL CAUCA;96,95;-;88,37;-;90,43;-;
13;BOLIVAR;657;SAN JUAN NEPOMUCENO;70,02;2,82;61,94;4,76;67,87;2,43;
13;BOLIVAR;667;SAN MARTIN DE LOBA;54,50;3,39;79,55;3,21;68,93;2,42;
13;BOLIVAR;670;SAN PABLO;62,22;1,98;79,67;-;65,93;1,47;
13;BOLIVAR;673;SANTA CATALINA;50,40;2,71;47,16;6,70;48,34;4,28;
13;BOLIVAR;683;SANTA ROSA;99,28;0,33;75,97;-;91,90;0,25;
13;BOLIVAR;688;SANTA ROSA DEL SUR;37,59;3,24;76,74;4,20;55,43;2,91;
13;BOLIVAR;744;SIMITI;42,48;-;73,50;-;62,00;-;
13;BOLIVAR;760;SOPLAVIENTO;53,08;2,00;60,49;-;53,23;1,95;
13;BOLIVAR;780;TALAIGUA NUEVO;59,13;-;67,26;-;63,48;-;
13;BOLIVAR;810;TIQUISIO;75,58;-;89,94;-;86,48;-;
13;BOLIVAR;836;TURBACO;49,87;3,27;46,90;6,11;49,62;3,05;
13;BOLIVAR;838;TURBANA;64,04;2,53;46,01;7,34;62,02;2,40;
13;BOLIVAR;873;VILLANUEVA;88,32;1,09;71,25;4,10;86,43;1,06;
13;BOLIVAR;894;ZAMBRANO;55,49;2,68;65,59;3,85;55,92;2,56;
15;BOYACA;001;TUNJA;10,79;10,75;36,34;7,56;12,01;9,25;
15;BOYACA;022;ALMEIDA;8,19;-;41,87;-;37,32;-;
15;BOYACA;047;AQUITANIA;24,23;-;53,05;-;42,76;-;
15;BOYACA;051;ARCABUCO;11,66;-;44,76;-;33,25;-;
15;BOYACA;087;BELEN;13,70;-;47,43;-;31,06;-;
15;BOYACA;090;BERBEO;18,97;-;40,53;-;36,12;-;
15;BOYACA;092;BETEITIVA;36,31;-;68,92;-;64,02;-;
15;BOYACA;097;BOAVITA;20,94;-;71,82;-;52,88;-;
15;BOYACA;104;BOYACA;14,18;-;54,45;2,71;51,01;2,64;
15;BOYACA;106;BRICEÑO;24,76;-;37,55;-;35,02;-;
15;BOYACA;109;BUENAVISTA;17,72;-;49,00;-;45,04;-;
15;BOYACA;114;BUSBANZA;20,96;-;76,70;-;57,97;-;
15;BOYACA;131;CALDAS;27,00;-;39,82;-;39,04;-;
15;BOYACA;135;CAMPOHERMOSO;16,54;-;51,14;-;44,05;-;
15;BOYACA;162;CERINZA;11,61;-;33,91;5,45;26,02;4,59;
15;BOYACA;172;CHINAVITA;18,05;-;43,97;-;35,79;-;
15;BOYACA;176;CHIQUINQUIRA;14,40;8,68;37,00;6,85;17,87;6,31;
15;BOYACA;180;CHISCAS;30,29;-;79,26;-;69,98;-;
15;BOYACA;183;CHITA;29,71;-;92,01;-;81,22;-;
15;BOYACA;185;CHITARAQUE;19,39;-;52,71;-;47,31;-;
15;BOYACA;187;CHIVATA;11,98;-;68,39;3,28;49,37;3,01;
15;BOYACA;189;CIENEGA;23,87;-;31,72;-;29,81;-;
15;BOYACA;204;COMBITA;24,15;-;39,70;4,49;38,40;4,25;
15;BOYACA;212;COPER;13,32;-;54,06;-;47,03;-;
15;BOYACA;215;CORRALES;17,88;-;44,46;-;27,95;-;
15;BOYACA;218;COVARACHIA;28,67;-;88,08;-;79,65;-;
15;BOYACA;223;CUBARA;20,35;-;72,11;-;58,46;-;
15;BOYACA;224;CUCAITA;33,57;-;48,00;4,45;42,91;3,23;
15;BOYACA;226;CUITIVA;49,72;-;45,84;-;46,19;-;
15;BOYACA;232;CHIQUIZA;81,82;-;48,44;3,92;49,00;3,81;
15;BOYACA;236;CHIVOR;15,37;-;40,25;-;34,16;-;
15;BOYACA;238;DUITAMA;7,46;13,70;19,87;17,53;8,99;11,06;
15;BOYACA;244;EL COCUY;27,25;-;79,51;-;54,67;-;
15;BOYACA;248;EL ESPINO;28,55;-;65,71;-;51,35;-;
15;BOYACA;272;FIRAVITOBA;10,42;-;36,10;4,02;27,59;3,52;
15;BOYACA;276;FLORESTA;23,13;-;56,58;3,34;46,14;2,82;
15;BOYACA;293;GACHANTIVA;15,12;-;66,90;-;60,35;-;
15;BOYACA;296;GAMEZA;20,39;-;53,68;-;44,19;-;
15;BOYACA;299;GARAGOA;15,23;7,56;45,79;6,08;23,06;4,83;
15;BOYACA;317;GUACAMAYAS;16,36;-;79,95;-;62,69;-;
15;BOYACA;322;GUATEQUE;13,30;-;55,82;-;25,96;-;
15;BOYACA;325;GUAYATA;14,54;-;57,09;-;48,08;-;
15;BOYACA;332;GsICAN;23,02;-;81,01;-;68,54;-;
15;BOYACA;362;IZA;10,95;-;32,33;-;23,22;-;
15;BOYACA;367;JENESANO;17,36;-;48,66;3,04;41,83;2,77;
15;BOYACA;368;JERICO;35,94;-;79,88;-;74,00;-;
